0;1;2;3;4;5;6;7
"id";"nom";"code";"type";"niveauGravite";"geometry";"date_today";"date_today"
"210";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.822728,43.08104],[2.822728,43.08104]]]}";"21/05/2024";"21/05/2024"
"211";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.582715,42.911123],[2.582715,42.911123]]]}";"21/05/2024";"21/05/2024"
"212";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.152605,42.972172],[2.152605,42.972172]]]}";"21/05/2024";"21/05/2024"
"213";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.633411,43.063023],[2.633411,43.063023]]]}";"21/05/2024";"21/05/2024"
"216";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.939909,43.389988],[1.939909,43.389988]]]}";"21/05/2024";"21/05/2024"
"217";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.503177,43.083713],[2.503177,43.083713]]]}";"21/05/2024";"21/05/2024"
"219";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.50276,43.002524],[2.50276,43.002524]]]}";"21/05/2024";"21/05/2024"
"221";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.848405,43.199852],[2.848405,43.199852]]]}";"21/05/2024";"21/05/2024"
"223";"Secteur Orbiel et affluents rive gauche de l?Aude sur ce secteur";"76_11_0009";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.412205,43.219022],[2.412205,43.219022]]]}";"21/05/2024";"21/05/2024"
"224";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.360446,42.989639],[2.360446,42.989639]]]}";"21/05/2024";"21/05/2024"
"226";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.213753,43.227319],[2.213753,43.227319]]]}";"21/05/2024";"21/05/2024"
"228";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.565173,43.049545],[2.565173,43.049545]]]}";"21/05/2024";"21/05/2024"
